origin,dest,totalflights,cancelledflights,cancelratepercent,avgdepdelay,avgarrdelay
LGA,MKE,154,20,12.99,7.28,19.55
ACK,EWR,242,27,11.16,13.75,21.07
ADQ,ANC,727,79,10.87,14.5,13.73
ANC,ADQ,727,79,10.87,10.34,9.58
EWR,ACK,242,26,10.74,3.99,13.36
JNU,YAK,364,36,9.89,12.66,9.61
ABE,PHL,378,36,9.52,11.71,15.24
LGA,TYS,359,33,9.19,13.65,12.76
PHL,ABE,378,34,8.99,21.64,12.46
VIS,FAT,669,60,8.97,0.11,-4.22
ADK,AKN,104,9,8.65,37.51,30.17
AKN,ADK,104,9,8.65,12.05,9.89
BOS,MYR,104,9,8.65,7.97,0.68
FAT,VIS,667,57,8.55,4.58,2.16
CVG,HTS,425,33,7.76,6.51,3.84
HTS,CVG,425,33,7.76,2.52,1.27
PHL,AVP,273,21,7.69,11.83,10.04
MKE,ORD,1916,147,7.67,13.43,18.94
MKK,OGG,225,17,7.56,-2.79,-8.43
AZO,ORD,2128,160,7.52,9.19,12.87
