flightnum,totalflights,cancelledflights,cancelratepercent,avgdepdelay,avgarrdelay
4974,62,16,25.81,4.74,2.43
7748,124,20,16.13,33.74,34.72
7522,58,9,15.52,26.96,35.22
4970,241,37,15.35,12.99,15.1
7543,85,13,15.29,24.9,19.89
5773,467,70,14.99,30.68,25.98
7766,124,18,14.52,25.42,31.58
4916,256,37,14.45,17.38,11.42
5767,194,28,14.43,1.71,1.56
4545,230,33,14.35,23.47,23.72
5552,364,52,14.29,7.04,-1.28
6842,178,25,14.04,13.06,5.99
7691,93,13,13.98,40.4,33.44
4020,180,25,13.89,8.66,12.97
6025,124,17,13.71,4.62,3.34
4972,351,47,13.39,12.63,12.23
6816,323,43,13.31,30.05,29.86
4966,256,34,13.28,9.6,9.99
4935,245,32,13.06,8.09,6.37
4965,239,31,12.97,8.84,3.03
