origin,dest,uniquecarrier,flightnum,avgcarrierdelay,avgweatherdelay,avgnasdelay,avgsecuritydelay,avglateaircraftdelay,avgdepdelay,cancelledflights,totalflights
HOU,DAL,WN,22,2.4827586206896552,0.19655172413793104,0.4862068965517241,0.0,1.306896551724138,6.613043478260869,60,290
SAT,DAL,WN,768,0.6264591439688716,0.245136186770428,0.5369649805447471,0.0,5.953307392996109,10.120603015075377,58,257
DAL,HOU,WN,15,0.8291139240506329,0.18670886075949367,0.7468354430379747,0.0,1.0284810126582278,3.752895752895753,57,316
MSP,ORD,NW,138,1.7195945945945945,2.2533783783783785,7.22972972972973,0.0,0.5878378378378378,8.7,56,296
LGA,PWM,OH,5552,1.1408450704225352,5.157746478873239,0.8253521126760563,0.0,0.10704225352112676,5.858552631578948,51,355
DAL,HOU,WN,25,0.6535211267605634,0.4197183098591549,1.0929577464788733,0.022535211267605635,0.952112676056338,3.588815789473684,51,355
CVG,EWR,OH,5773,2.8173374613003097,10.037151702786378,14.343653250773993,0.04953560371517028,0.043343653250773995,33.8021978021978,50,323
MSP,ORD,NW,140,2.8105263157894735,3.526315789473684,4.989473684210527,0.0,1.0140350877192983,11.429787234042553,50,285
ORD,MSP,NW,147,0.7396226415094339,1.6981132075471699,3.7849056603773583,0.0,2.5849056603773586,5.287037037037037,49,265
DAL,HOU,WN,29,1.1587837837837838,0.4797297297297297,1.489864864864865,0.0,1.3006756756756757,4.967611336032388,49,296
CVG,ORD,MQ,4380,0.4584837545126354,0.06498194945848375,6.169675090252707,0.0,12.433212996389893,15.283842794759826,48,277
DAL,HOU,WN,33,1.625,0.2897727272727273,1.3352272727272727,0.0,3.971590909090909,9.575657894736842,48,352
PIA,ORD,MQ,4157,0.24383561643835616,0.38904109589041097,8.882191780821918,0.0,12.145205479452056,16.69811320754717,47,365
MEM,ORD,MQ,4264,0.7741046831955923,0.5068870523415978,6.426997245179064,0.0,17.988980716253444,21.147798742138363,45,363
ORD,CVG,MQ,4093,6.419178082191781,0.8465753424657534,4.306849315068493,0.0,7.536986301369863,19.540625,45,365
IAD,ORD,MQ,4231,0.3865814696485623,0.3450479233226837,14.188498402555911,0.22044728434504793,14.006389776357828,24.732342007434944,44,313
ORD,MEM,MQ,4259,6.092896174863388,0.73224043715847,5.1502732240437155,0.0,8.718579234972678,19.555900621118013,44,366
ORD,LGA,AA,360,2.8882521489971347,0.501432664756447,11.653295128939828,0.0,6.051575931232092,15.38360655737705,44,349
CAE,LGA,OH,5138,1.834733893557423,2.204481792717087,5.128851540616247,0.0,0.6974789915966386,8.961661341853036,44,357
HOU,DAL,WN,24,2.7711864406779663,0.5423728813559322,1.0677966101694916,0.0,2.26271186440678,8.37741935483871,44,354
